CountryCode,RegionCode,RegionName
ATMOSPHERE,ATMOSPHERE,ATMOSPHERE
MODIS,MODIS,MODIS
SAHARAN_DUST,SAHARAN_DUST,SAHARAN_DUST
SURFACE,SURFACE,SURFACE
MINERAL_DUST,MINERAL_DUST,MINERAL_DUST
TRANSPORT,TRANSPORT,TRANSPORT
IMPACT,IMPACT,IMPACT
STORMS,STORMS,STORMS
PARTICLES,PARTICLES,PARTICLES
DESERT_DUST,DESERT_DUST,DESERT_DUST
AERONET,AERONET,AERONET
OPTICAL-PROPERTIES,OPTICAL-PROPERTIES,OPTICAL-PROPERTIES
VARIABILITY,VARIABILITY,VARIABILITY
SATELLITE,SATELLITE,SATELLITE
AEROSOLS,AEROSOLS,AEROSOLS
DEPOSITION,DEPOSITION,DEPOSITION
DUST,DUST,DUST
PRECIPITATION,PRECIPITATION,PRECIPITATION
CYCLE,CYCLE,CYCLE
CLIMATE,CLIMATE,CLIMATE
CLOUDS,CLOUDS,CLOUDS
OCEAN,OCEAN,OCEAN
AEROSOL,AEROSOL,AEROSOL
MODEL,MODEL,MODEL
